,tech,tech,tech,tech,finance,finance,finance,finance,pharma,pharma,pharma,pharma,food,food,food,food,education,education,education,education,energy,energy,energy,energy
,MSFT,GOOGL,META,NVDA,JPM,BAC,MA,V,JNJ,PFE,MRK,AZN,YUM,MCD,SBUX,DPZ,UDMY,DUOL,COUR,CHGG,XOM,CVX,SHEL,NEE
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,155.25999450683594,55.85150146484375,158.19000244140625,6.386750221252441,87.51000213623047,20.56999969482422,238.8800048828125,157.38999938964844,133.14999389648438,31.185958862304688,73.34923553466797,43.7599983215332,66.05000305175781,161.5,65.0,333.45001220703125,,,,33.959999084472656,40.400001525878906,76.12000274658203,38.959999084472656,56.61249923706055
2020-04-03,153.8300018310547,54.6349983215332,154.17999267578125,6.097750186920166,84.05000305175781,20.030000686645508,237.02999877929688,151.85000610351562,134.1699981689453,31.9165096282959,72.75763702392578,43.959999084472656,63.29999923706055,160.3300018310547,63.04999923706055,328.2300109863281,,,,34.25,39.209999084472656,75.11000061035156,36.2400016784668,55.40999984741211
2020-04-06,165.27000427246094,59.15950012207031,165.5500030517578,6.710000038146973,89.45999908447266,21.389999389648438,265.94000244140625,169.44000244140625,139.75999450683594,32.79886245727539,76.63167572021484,44.310001373291016,70.5,177.0399932861328,67.79000091552734,338.5199890136719,,,,34.93000030517578,40.470001220703125,80.38999938964844,37.33000183105469,58.627498626708984
2020-04-07,163.49000549316406,59.12799835205078,168.8300018310547,6.475749969482422,90.63999938964844,22.139999389648438,259.0799865722656,168.58999633789062,137.47999572753906,31.888046264648438,74.96183013916016,43.099998474121094,71.3499984741211,175.58999633789062,68.70999908447266,333.9599914550781,,,,35.130001068115234,41.2400016784668,80.91999816894531,37.2599983215332,57.122501373291016
2020-04-08,165.1300048828125,60.349998474121094,174.27999877929688,6.673749923706055,94.30000305175781,23.450000762939453,270.95001220703125,174.94000244140625,143.25999450683594,32.82732391357422,77.88167572021484,43.849998474121094,75.37000274658203,177.49000549316406,71.56999969482422,343.8299865722656,,,,36.84000015258789,43.849998474121094,85.9800033569336,38.06999969482422,58.375
2020-04-09,165.13999938964844,60.32849884033203,175.19000244140625,6.573750019073486,102.76000213623047,24.860000610351562,269.3999938964844,173.69000244140625,141.22999572753906,33.57685089111328,78.71183013916016,44.65999984741211,80.37000274658203,183.6999969482422,73.87999725341797,343.6400146484375,,,,37.650001525878906,43.130001068115234,84.30999755859375,37.90999984741211,61.31999969482422
2020-04-13,165.50999450683594,60.52050018310547,174.7899932861328,6.746250152587891,98.19000244140625,23.920000076293945,263.3399963378906,168.99000549316406,139.77000427246094,33.339656829833984,76.85114288330078,47.36000061035156,77.05999755859375,180.1199951171875,71.76000213623047,355.1400146484375,,,,38.099998474121094,42.7599983215332,84.91000366210938,37.369998931884766,59.0525016784668
2020-04-14,173.6999969482422,63.26150131225586,178.1699981689453,7.098750114440918,95.5,23.729999542236328,270.7200012207031,174.6199951171875,146.02999877929688,34.573055267333984,79.0457992553711,48.68000030517578,79.88999938964844,183.99000549316406,73.66999816894531,358.260009765625,,,,39.65999984741211,42.43000030517578,84.61000061035156,37.0099983215332,60.595001220703125
2020-04-15,171.8800048828125,62.8650016784668,176.97000122070312,7.020999908447266,90.79000091552734,22.190000534057617,257.1400146484375,165.9600067138672,147.66000366210938,34.12713623046875,78.31106567382812,48.029998779296875,77.63999938964844,177.83999633789062,72.55000305175781,354.6199951171875,,,,39.75,40.47999954223633,82.48999786376953,34.36000061035156,59.30500030517578
2020-04-16,177.0399932861328,62.871498107910156,176.25,7.367499828338623,87.33000183105469,21.420000076293945,246.75999450683594,162.4199981689453,149.6699981689453,34.041744232177734,79.19847106933594,49.130001068115234,80.11000061035156,179.5,73.51000213623047,360.4700012207031,,,,35.869998931884766,39.150001525878906,79.98999786376953,32.599998474121094,59.369998931884766
